"","Bx","By","Bz"
"773",4.92,0.05,0.17
"774",4.94,-0.3,-0.03
"775",4.89,0.17,0.21
"776",4.93,0,0.08
"777",4.92,0.25,0.24
"778",4.89,0.01,0.1
"779",4.96,-0.14,0.1
"780",4.86,0.13,0.13
"781",4.89,0.17,0.11
"782",4.9,-0.04,0.05
"783",4.92,-0.41,0.01
"784",4.98,0.1,0.01
"785",4.96,0.09,0.17
"786",4.97,-0.3,-0.02
"787",4.99,0.02,0.02
"788",4.97,-0.51,-0.32
"789",4.99,0.38,0.32
"790",4.97,-0.34,-0.19
"791",4.85,-0.23,0.1
"792",4.48,0.15,0.37
"793",4.31,-0.13,0.69
"794",4.07,-0.49,0.98
"795",4.11,-0.1,0.69
"796",3.99,-0.5,0.81
"797",3.96,-0.73,0.84
"798",4.08,-0.3,0.67
"799",4.13,-0.05,0.69
"800",4.03,-0.53,0.73
"801",4.19,-0.01,0.8
"802",4.36,-0.12,0.61
"803",4.25,-0.2,0.55
"804",4.13,-0.66,0.47
"805",4.07,-0.94,0.13
"806",3.9,-1.12,0.45
"807",3.72,-1.29,0.81
"808",3.7,-1.02,1.14
"809",3.9,-0.64,1.04
"810",3.98,-0.78,1.14
"811",3.94,-0.26,1.6
"812",3.96,-0.54,1.62
"813",4,-0.28,1.69
"814",3.79,-0.4,1.88
"815",3.82,-0.39,1.79
"816",3.85,-0.15,1.8
"817",4.02,-0.48,1.24
"818",3.75,-0.16,1.86
"819",3.58,-0.4,2.17
"820",3.61,-0.15,2.33
"821",3.69770481924354,0.0447245403959392,1.81955248900542
"822",3.47,0.67,2.05
"823",-1.9878097772694,-2.43740678268978,-2.22181376278695
"824",4.36335103184976,-0.74151581361023,0.317183922812382
"825",4.41356919562485,0.079990964811535,0.993562472458945
"826",3.30081677057958,0.97218351551127,2.06168899126924
"827",2.46825148448611,-2.6258106578965,-1.37468188051979
"828",4.29788904224414,-1.25367136684319,0.23141929697153
"829",4.23771376434091,-0.0277928510671321,1.09252774319945
"830",3.64235903159107,0.215648827687255,2.00403391078775
"831",-0.482155151019531,-2.65497730484499,-2.04997480634854
"832",3.36074037517061,-1.52462377952084,-0.0827305395038468
"833",4.25025061435377,0.543927444251379,1.2508451191125
"834",3.30258555513434,-0.823692230437058,0.621379026343932
"835",4.32704268988152,-0.501638779495805,0.992261170922249
"836",-0.999122740182212,-2.58264207760177,-2.25165319450254
"837",4.35997928425519,0.051349043444994,1.31442339459641
"838",3.73160758129626,-1.17070013537895,0.82745706927018
"839",3.45,0.68,1.99
"840",-1.46473882265537,-2.47646199868073,-2.01056339920492
"841",-1.04736532589826,-2.55283766923396,-2.10202196585151
"842",3.42,0.7,2.01
"843",0.895993851011966,-3.07438602589695,-1.52984073844298
"844",4.2215440405503,-0.0226498909555301,1.137134369213
"845",3.39,0.79,1.99
"846",4.32048587420945,0.642231509764707,1.59923805779662
"847",3.2507722902133,-1.27855619392567,0.0961783315557097
"848",4.37794206581216,0.222000270806552,1.08159721174067
"849",3.39,0.67,2
"850",3.39,0.67,2
"851",3.14470586689542,-1.45877606039401,-0.266574174366452
"852",3.42,0.55,2.11
"853",-1.48351224875169,-1.56599094745274,-1.94564011750563
"854",3.48,0.49,2.12
"855",0.0745362588899441,-3.14436401168574,-2.30316748820508
"856",3.51,0.59,2.01
"857",-1.1718804575115,-2.3600212526528,-1.92131425496739
"858",2.55,-2.7,-1.21
"859",0.85,-3.15,-1.6
"860",0.58,-3.27,-1.79
"861",1.27,-3.09,-1.47
"862",0.71,-3.19,-1.35
"863",1.5,-2.64,-1.26
"864",2.66,-0.65,0.28
"865",3.17,-0.05,1.21
"866",2.51,-0.78,0.47
"867",1.79,-2.66,-1.55
"868",1.55,-2.88,-1.38
"869",1.77,-2.8,-0.92
"870",2.91,-2.58,-0.57
"871",1.9,-2.79,-1.3
"872",1.33,-3,-1.85
"873",1.48,-2.94,-1.7
"874",2.5,-2.74,-1.25
"875",2.15,-2.7,-1.11
"876",2.36,-2.61,-0.98
"877",2.28,-2.88,-1.28
"878",1.66,-2.85,-1.7
"879",-0.17,-2.7,-1.72
"880",-1.12,-2.16,-1.69
"881",-2.45,-1.12,-1.97
"882",-0.44,-2.16,-1.81
"883",-1.83,-2.02,-1.86
"884",-1.7,-2.23,-1.95
"885",-1.55,-2.36,-1.98
"886",-1.92,-2.6,-1.89
"887",-0.43,-2.61,-1.86
"888",-0.44,-2.65,-1.91
"889",-1.96,-2.52,-2.18
"890",0.9,-3,-1.97
"891",-1.98,-2.23,-2.13
"892",-1.71,-2.51,-2.32
"893",-1.52,-2.69,-2.29
"894",-0.6,-2.92,-2.37
"895",-1.21,-2.79,-2.11
"896",-0.77,-2.92,-2.21
"897",-0.37,-3.02,-2.28
"898",-0.18,-3.23,-2.28
"899",-0.19,-3.12,-2.67
"900",0.25,-3.08,-2.29
"901",0.13,-2.92,-2.31
"902",-1.09,-2.58,-2.03
"903",-1.38,-1.53,-1.79
"904",-1.05,-2.4,-1.85
"905",-0.44,-2.58,-1.94
"906",-0.74,-2.49,-2.04
"907",-1.08,-2.37,-2.05
"908",-1.35,-2.35,-2.04
"909",-1.19,-2.31,-2.23
"910",-0.5,-2.67,-2.02
"911",-0.27,-2.7,-2.09
"912",-0.86,-2.53,-2.1
"913",-1.43,-2.2,-1.99
"914",-0.85,-2.69,-2.08
"915",-1.3,-2.35,-2.07
"916",-1.89,-1.64,-1.71
"917",2.76,-0.93,-0.33
"918",2.26,-1.2,-0.49
"919",4.3,0.8,1.53
"920",4.4,0.52,1.4
"921",4.41,0.49,1.24
"922",4.38,0.52,1.31
"923",4.38,0.65,1.29
"924",4.42,0.67,1.24
"925",4.31,0.68,1.52
"926",4.23,0.79,1.59
"927",4.19,0.75,1.52
"928",4.18,0.71,1.47
"929",4.16,0.77,1.46
"930",4.16,0.73,1.59
"931",4.13,0.63,1.77
"932",4.18,0.58,1.64
"933",4.16,0.56,1.58
"934",4.17,0.55,1.54
"935",4.12,0.53,1.53
"936",4.17,0.41,1.31
"937",4.13,0.37,1.4
"938",4.11,0.35,1.49
"939",4.21,0.23,1.26
"940",4.27,0.15,1.26
"941",4.22,0.47,1.22
"942",4.23,0.41,1.29
"943",4.26,0.27,1.32
"944",4.26,0.34,1.31
"945",4.26,0.33,1.32
"946",4.26,0.32,1.3
"947",4.22,0.38,1.33
"948",4.19,0.36,1.22
"949",4.25,0.37,1.01
"950",4.29,0.17,0.81
"951",4.3,-0.03,0.7
"952",4.29,-0.17,0.78
"953",4.32,-0.24,0.73
"954",4.33,-0.18,0.71
"955",4.23,0.16,0.99
"956",4.17,0.37,1.1
"957",4.14,0.35,1.23
"958",4.18,0.32,1.19
"959",4.21,0.33,1.07
"960",4.16,0.4,1.09
"961",4.15,0.49,1.07
"962",4.21,0.66,0.96
"963",4.24,0.61,0.93
"964",4.25,0.57,0.88
"965",4.27,0.32,0.79
"966",4.27,0.24,0.8
"967",4.29,0.21,0.79
"968",4.32,0.03,0.74
"969",4.33,0.11,0.77
"970",4.38,0.06,0.71
"971",4.41,-0.27,0.62
"972",4.41,-0.4,0.64
"973",4.47,-0.22,0.43
"974",4.48,-0.19,0.42
"975",4.4,-0.63,0.6
"976",4.39,-0.7,0.47
"977",4.37,-0.78,0.51
"978",4.34,-0.88,0.48
"979",4.34,-0.85,0.51
"980",4.32,-0.96,0.52
"981",4.43,-0.69,0.54
"982",4.49,-0.26,0.67
"983",4.47,-0.3,0.78
"984",4.47,-0.2,0.91
"985",4.49,0.06,0.8
"986",4.49,-0.32,0.81
"987",4.28,-1.15,0.35
"988",4.37,-0.97,0.43
"989",3.52,-1.93,-0.07
"990",3.58,-1.88,-0.12
"991",3.37,-2.13,-0.13
"992",3.96,-1.51,0.05
"993",4.36,-0.88,0.58
"994",3.81,-1.75,-0.09
"995",3.94,-1.72,-0.24
"996",4.31,-0.89,0.56
"997",3.75,-1.69,0.05
"998",4.11,-1.2,0.3
"999",4.18,-1.09,0.46
"1000",4.25,-0.52,0.86
"1001",3.81,-1.6,0.15
"1002",3.23,-2.37,-0.14
"1003",4.19,-1.48,0.43
"1004",3.82,-1.91,0.16
"1005",4.23,-1.48,-0.06
"1006",4.3,-1.44,-0.15
"1007",3.93,-1.68,-0.59
"1008",3.33,-2.39,-0.72
"1009",3.26,-2.33,-0.7
"1010",3.55,-2.02,-0.8
"1011",3.65,-1.78,-1.04
"1012",3.98,-1.37,-1.2
"1013",3.86,-1.54,-0.92
"1014",4.15,-1.23,-0.82
"1015",3.89,-1.58,-0.65
"1016",4.07,-1.2,-0.65
"1017",3.71,-1.87,-1.06
"1018",3.73,-1.92,-1.01
"1019",3.85,-1.83,-1.09
"1020",3.51,-1.95,-1.23
"1021",3.65,-1.75,-1.23
"1022",3.29,-2.32,-0.91
"1023",3.57,-2.11,-0.85
"1024",3.06,-2.26,-1.27
"1025",3.24,-2.1,-1.25
"1026",3.51,-2.26,-0.59
"1027",2.92,-2.5,-1.15
"1028",3.58,-1.75,-1.14
"1029",3.36,-2,-1.35
"1030",3.36,-2.63,-0.19
"1031",3.23,-2.55,-0.51
"1032",3.39,-2.36,-0.59
"1033",2.96,-2.54,-1.03
"1034",3.33829713516518,-2.70184838120886,0.0572234548507189
"1035",2.28,-3.22,-1.14
"1036",2.36,-3.2,-1.1
"1037",2.36,-3.2,-1.1
"1038",2.37,-3.13,-1.27
"1039",3.01383312500033,-2.62774072273063,-1.00028245945168
"1040",2.59,-3.08,-1.01
"1041",2.79285816493286,-1.99257043243429,-0.0289164093507073
"1042",2.5,-3.12,-1.14
"1043",2.42,-3.13,-1.11
"1044",2.42,-3.13,-1.11
"1045",2.22,-3.25,-1.23
"1046",2.12507654239141,-1.98258860627349,-0.0910463317241326
"1047",2.46,-3.14,-1.11
"1048",3.14,-2.58,-0.39
"1049",3.14,-2.58,-0.39
"1050",3.05,-2.68,-0.46
"1051",3.01,-2.69,-0.86
"1052",3.01,-2.69,-0.86
"1053",3.03,-2.65,-0.98
"1054",3.02,-2.68,-0.95
"1055",3.02,-2.68,-0.95
"1056",3.02,-2.64,-0.97
"1057",2.66659359471194,-2.11106882388484,-0.236836034890631
"1058",3.05,-2.58,-1.08
"1059",3.07,-2.51,-1.11
"1060",3.12,-2.51,-1.03
"1061",3.14,-2.46,-1.06
"1062",3.27,-2.46,-0.78
"1063",3.17,-2.53,-0.82
"1064",2.91,-2.67,-1.25
"1065",2.84,-2.7,-1.24
"1066",2.63,-2.72,-1.63
"1067",2.47,-2.74,-1.81
"1068",2.44,-2.74,-1.81
"1069",2.04059324870625,-1.79297817109305,0.0605717031782123
"1070",2.55,-2.66,-1.81
"1071",2.42,-2.62,-2.03
"1072",2.58,-2.44,-1.76
"1073",2.72,-2.3,-0.85
"1074",2.97,-2.35,-0.01
"1075",3.29,-1.85,1.3
"1076",3.23,-2.26,0.79
"1077",3.32,-2.21,0.88
"1078",3.38,-2.42,0.75
"1079",3.3,-2.66,0.46
"1080",3.37,-2.61,0.22
"1081",3.27,-2.71,0.08
"1082",3.3,-2.75,0.03
"1083",3.19,-2.76,-0.14
"1084",3.16,-2.79,-0.24
"1085",3.28,-2.85,-0.23
"1086",3.26,-2.83,-0.22
"1087",3.31,-2.81,-0.26
"1088",3.26,-2.87,-0.38
"1089",3.24,-2.94,-0.41
"1090",3.19,-2.99,-0.45
"1091",3.29,-2.94,-0.4
"1092",2.94,-2.77,-0.47
"1093",2.85,-2.75,-0.57
"1094",2.75,-2.8,-0.91
"1095",2.64,-2.95,-1.06
"1096",2.69,-2.93,-1.01
"1097",2.68,-2.93,-1
"1098",2.67,-2.87,-0.94
"1099",2.6,-2.83,-0.96
"1100",2.63,-2.76,-0.84
"1101",2.7,-2.71,-0.8
"1102",2.7,-2.75,-0.76
"1103",2.74,-2.73,-0.67
"1104",2.71,-2.63,-0.69
"1105",2.77,-2.52,-0.57
"1106",2.8,-2.48,-0.59
"1107",2.8,-2.46,-0.55
"1108",2.76,-2.48,-0.51
"1109",2.79,-2.43,-0.51
"1110",2.84,-2.54,-0.47
"1111",2.8,-2.55,-0.43
"1112",2.79,-2.48,-0.44
"1113",2.75,-2.46,-0.42
"1114",2.76,-2.47,-0.43
"1115",2.81,-2.47,-0.46
"1116",2.77,-2.49,-0.46
"1117",2.74,-2.4,-0.55
"1118",2.99,-2.6,-0.59
"1119",3.02,-2.66,-0.63
"1120",2.94,-2.63,-0.52
"1121",3,-2.52,-0.52
"1122",3.03,-2.6,-0.54
"1123",2.88,-2.49,-0.53
"1124",2.20335619124965,-1.85731891026664,-0.0538546015742827
"1125",2.74,-2.35,-0.39
"1126",2.75,-2.33,-0.41
"1127",2.75,-2.33,-0.41
"1128",1.95676605838634,-1.94751764781119,-0.118201505920882
"1129",2.74,-2.3,-0.37
"1130",2.74,-2.26,-0.34
"1131",2.78,-2.22,-0.37
"1132",2.75,-2.24,-0.37
"1133",2.73,-2.27,-0.46
"1134",2.78,-2.26,-0.32
"1135",2.84,-2.21,-0.2
"1136",2.85,-2.14,-0.16
"1137",2.91,-2.06,-0.18
"1138",2.73,-1.94,-0.19
"1139",2.64,-1.9,-0.13
"1140",2.75,-1.68,-0.1
"1141",2.36,-2.08,-0.48
"1142",2.74,-1.87,-0.24
"1143",2.99,-2,0.32
"1144",2.6,-2.11,-0.34
"1145",2.87,-2.11,-0.19
"1146",3,-1.95,-0.33
"1147",2.88,-2.08,-0.24
"1148",3.1,-2.06,-0.03
"1149",3.07,-2.15,0.14
"1150",3.04,-2.06,0.14
"1151",3.06,-2.02,0.26
"1152",2.71,-2.05,-0.09
"1153",2.67,-2.09,-0.18
"1154",2.44,-2.21,-0.29
"1155",2.56,-2.11,-0.19
"1156",2.52,-2.11,-0.22
"1157",2.52,-2.13,-0.21
"1158",2.69,-1.87,0.1
"1159",2.77,-1.77,0.24
"1160",2.77,-1.75,0.18
"1161",2.79,-1.69,0.21
"1162",2.78,-1.71,0.09
"1163",2.5,-1.82,-0.11
"1164",2.27,-1.79,-0.04
"1165",2.26,-1.77,0.01
"1166",2.22,-1.9,-0.31
"1167",2.12,-1.86,-0.28
"1168",2.16,-1.83,-0.2
"1169",2.22,-1.86,-0.25
"1170",2.24,-1.87,-0.29
"1171",2.26,-1.92,-0.24
"1172",2.26,-1.95,-0.21
"1173",2.27,-1.9,-0.2
"1174",2.09,-1.89,0.19
"1175",2.08,-1.91,0.19
"1176",2.07,-1.9,0.21
"1177",2.08,-1.87,0.17
"1178",2.08,-1.91,0.24
"1179",2.09,-1.95,0.11
"1180",2.05,-1.86,0.14
"1181",2.07,-1.79,0.09
"1182",2.03,-1.75,0.13
"1183",2.04,-1.75,0.08
"1184",2.04,-1.81,0.04
"1185",2.06,-1.86,-0.07
"1186",2.03,-1.79,-0.03
"1187",2.01,-1.85,-0.09
"1188",2.01,-1.82,-0.07
"1189",1.99,-1.83,-0.08
"1190",2.03,-1.81,-0.09
"1191",1.93,-1.77,-0.18
"1192",1.95,-1.83,-0.1
"1193",2.02,-1.62,-0.25
"1194",1.86,-1.73,-0.21
"1195",1.88,-1.78,-0.15
"1196",1.79,-2.02,0.12
"1197",1.96,-1.91,-0.23
"1198",1.93,-1.95,-0.09
"1199",2.02,-1.91,-0.16
"1200",2.01,-1.93,-0.2
"1201",1.96,-1.95,-0.15
"1202",2.08,-1.93,-0.25
"1203",2.09,-1.95,-0.23
"1204",2.11,-2,-0.23
"1205",2.15,-1.99,-0.22
"1206",2.04,-1.99,-0.16
"1207",1.98,-1.98,-0.03
"1208",1.93,-1.98,0
"1209",1.92,-2.02,0.03
"1210",1.85,-2.06,0.1
"1211",1.75,-2.13,0.12
"1212",1.73,-2.13,-0.05
"1213",1.8,-2.1,0.03
"1214",1.8,-2.12,0.04
"1215",1.77,-2.16,0.03
"1216",1.81,-2.13,0.05
"1217",1.82,-2.12,0.13
"1218",1.78,-2.14,0.17
"1219",1.69,-2.17,0.15
"1220",1.65,-2.27,0.17
"1221",1.66,-2.34,0.16
"1222",1.66,-2.33,0.08
"1223",1.64,-2.38,0.09
"1224",1.54,-2.43,0.09
"1225",1.39,-2.41,0.15
"1226",1.35,-2.39,0.15
"1227",1.29,-2.42,0.16
"1228",1.27,-2.42,0.19
"1229",1.28,-2.4,0.15
"1230",1.35,-2.36,0.11
"1231",1.3,-2.39,0.06
"1232",1.26,-2.39,0.01
"1233",1.25,-2.42,-0.01
"1234",1.33,-2.09,0.3
"1235",1.3,-2.41,0.01
"1236",1.54,-1.76,0.2
"1237",1.55,-1.67,0.27
"1238",1.3,-2.41,0.06
"1239",1.31,-2.46,0.04
"1240",1.42,-2.11,0.39
"1241",1.5,-2.19,0.46
"1242",1.43,-2.42,0.21
"1243",1.41,-2.39,0.19
"1244",1.56,-2.06,0.5
"1245",1.5,-2.3,0.33
"1246",1.4,-2.36,0.37
"1247",1.49,-2.04,0.58
"1248",1.34,-2.07,0.6
"1249",1.5,-1.79,1
"1250",1.51,-1.59,0.85
"1251",1.59,-1.44,0.91
"1252",1.72,-0.93,1.12
"1253",1.62,-0.82,0.92
"1254",1.7,-0.79,0.75
"1255",1.61,-0.52,0.52
"1256",1.69,-0.89,0.84
"1257",1.64,-0.8,0.52
"1258",1.73,-0.76,0.71
"1259",1.78,-0.35,0.6
"1260",1.68,-0.1,0.5
"1261",1.55,-0.44,0.5
"1262",0.96,1.15,-0.43
"1263",1.4,-0.41,0.61
"1264",1.1,-0.93,0.56
"1265",1.18,-1.16,0.63
"1266",1.4,-1.79,0.83
"1267",1.45,-1.42,0.76
"1268",1.24,-1.74,0.71
"1269",1.73,-0.74,0.95
"1270",1.63,-1.21,0.75
"1271",1.71,-1.19,0.88
"1272",1.54,-0.89,0.67
"1273",1.4,-1.49,0.84
"1274",1.41,-0.63,0.49
"1275",1.39,-1.41,1.19
"1276",1.13,-1.09,0.49
"1277",1.26,-0.63,0.62
"1278",1.17,-0.84,0.43
"1279",1.21,-0.86,0.46
"1280",1.19,-0.82,0.42
"1281",1.7,-0.57,1.4
"1282",0.53,-2,0.41
"1283",2.10054401374162,-1.23332506265696,1.63544717599653
"1284",1.55313634821893,-2.14678431229252,0.512884180838517
"1285",1.42,-0.01,0.86
"1286",1.76,-0.6,1.48
"1287",1.3707220133194,-2.26300344105856,0.406342563630501
"1288",1.78432918948638,-2.14646863858388,-0.163209054360984
"1289",1.32949230148593,-2.46032877618933,0.039062338224362
"1290",1.48,-0.1,0.79
"1291",2.07,-1.02,2.13
"1292",0.85,0.13,0.37
"1293",2.03765281855041,-0.907038253909669,2.38531736024689
"1294",1.42346644341132,-2.25239606134952,0.271596811218007
"1295",1.5,-0.06,0.77
"1296",1.92,-0.89,2.03
"1297",2.06840319915181,-1.77246644816136,-0.161119359776744
"1298",1.82405544240539,-2.27208098502783,0.109025989925024
"1299",1.22774062254507,-2.41638730794405,-0.156910534619585
"1300",1.46,0.01,0.72
"1301",1.85,-0.74,1.97
"1302",1.72402876388416,-0.399794972801535,0.66953520242454
"1303",2.13878963061293,0.0679539846315294,1.28731010051537
"1304",1.35866751665289,-0.987587312185676,0.707361822390293
"1305",1.63,-0.22,1.32
"1306",1.87091281367842,-2.26722596153492,0.0276757624282231
"1307",2.22988660663488,-0.977113356285593,1.91529081387716
"1308",0.78,-0.55,0.25
"1309",1.97,-0.86,2.03
"1310",1.1,-0.11,0.79
"1311",1.27,0.1,0.49
"1312",1.66171898387744,-0.458504664930251,0.667764242327137
"1313",0.45,-0.21,0.19
"1314",1.04,-0.26,0.85
"1315",2.21265187692443,-0.93112943060235,2.20978555701328
"1316",1.8301009233773,-1.93452362381967,-0.0390131808863999
"1317",2.03,-0.71,2.1
"1318",2.03,-0.71,2.1
"1319",1.13297121388278,-0.575941121114613,0.178649295977065
"1320",1.87590007015928,-0.490200770602753,1.37648626526847
"1321",2.02,-0.71,2.06
"1322",2.22998443734773,-1.1274594975101,1.84610315392077
"1323",1.30762793488319,-2.55255122684574,-0.169937026115343
"1324",2.02278677312064,-0.452843764147247,1.67036744951677
"1325",2.14,-0.73,2.22
"1326",1.79645454441626,-0.235126450706374,0.874207201846464
"1327",2.03733601328581,-1.24259649791595,1.87696095718599
"1328",2.16,-0.85,2.31
"1329",1.39778865791706,-0.349446166809417,1.30400532405634
"1330",2.49094783234249,-1.10570912038609,2.48612837215274
"1331",2.15,-0.9,2.33
"1332",2.15,-0.9,2.33
"1333",1.85846937767712,-0.605074138366087,1.64120227110275
"1334",1.73932500540569,-1.4280643225808,1.24418246734509
"1335",2.17,-0.87,2.31
"1336",2.3483311767261,-1.16304616051942,1.68879667696206
"1337",1.47874030730697,-2.3582945212788,0.225281035883998
"1338",2.15,-0.98,2.33
"1339",2.29079127651941,-1.01650773108967,1.90991965918352
"1340",2.24943134345216,-1.19332244962195,1.50316605122899
"1341",2.14,-0.98,2.28
"1342",1.33441147863447,-2.41672517311112,0.236981373269186
"1343",2.12,-1.1,2.24
"1344",2.12,-1.1,2.24
"1345",1.5808357181482,-0.895462653153118,0.745813360854366
"1346",2.11,-0.97,2.24
"1347",1.39702385803298,-0.781425931821002,0.586182245580181
"1348",1.33967639065183,-2.04944574809181,1.08342846459017
"1349",2.12,-0.97,2.24
"1350",1.37745620879441,-2.3267919380465,0.302670597846403
"1351",2.16,-0.96,2.31
"1352",2.16,-0.96,2.31
"1353",1.28192115058178,-1.07716881941302,0.543505427899492
"1354",2.13,-1,2.22
"1355",1.92175982960381,-1.06841258420717,2.3427132959692
"1356",2.18,-1,2.25
"1357",2.76,-0.78,1.66
"1358",1.49524603229427,-2.11593661920937,0.428052440486885
"1359",2.47,-0.95,1.94
"1360",1.98804337843412,-1.03344961933754,2.11835612752377
"1361",2.52,-0.79,1.99
"1362",2.14,-1,1.47
"1363",1.99,-1.4,1.52
"1364",1.96,-1.59,1.35
"1365",1.63,-1.84,1.25
"1366",1.97,-1.74,1.24
"1367",1.69,-1.78,1.31
"1368",1.46,-1.96,1.21
"1369",1.66,-1.79,1.35
"1370",1.76,-1.51,1.75
"1371",2.17,-1.08,2.29
"1372",2.29,-1.04,1.83
"1373",2.44,-0.84,1.94
"1374",2.27,-1.15,1.8
"1375",2.48,-0.87,1.95
"1376",2.49,-1.16,1.86
"1377",2.37,-1.17,1.86
"1378",2.31,-1.24,1.87
"1379",2.47,-1.07,1.53
"1380",2.22,-1.31,1.85
"1381",2.15,-1.36,1.57
"1382",2.24,-1.36,1.37
"1383",2.4,-1.2,1.52
"1384",2.28,-1.06,1.71
"1385",2.22,-1.23,1.71
"1386",2.2,-1.17,1.74
"1387",2.1,-1.12,1.83
"1388",1.98,-1.08,1.87
"1389",2.74,-1.03,1.37
"1390",2.82,-0.66,1.56
"1391",2.82,-0.66,1.56
"1392",2.08286777176478,-1.04693602116387,1.99293950740111
"1393",2.6,-0.34,1.91
"1394",1.6867747719428,0.157827971012654,0.763988830188304
"1395",2.57675936272039,-0.914202285380588,1.92285184532892
"1396",2.59,-0.26,1.98
"1397",2.02365673327093,-0.883212561860452,2.69170887343316
"1398",1.70896548001424,-1.53998615569877,1.19143501681545
"1399",1.92062612310961,-1.75461976879857,-0.0744489923886291
"1400",1.34610704887874,-0.913603003496488,0.536597071343124
"1401",2.55,-0.27,2.05
"1402",2.40169486226297,2.47059306515571,-0.750204736039129
"1403",2.09917442122904,2.89762233043412,-1.05465761854307
"1404",4.12,1.96,-0.02
"1405",4.08,1.95,0
"1406",4.02,1.92,-0.07
"1407",4.06,1.95,-0.06
"1408",4.08,1.84,0.02
"1409",4.13,1.8,-0.08
"1410",3.87,1.49,0.31
"1411",4.12,1.85,0
"1412",4.15,1.76,-0.17
"1413",4.19,1.5,-0.59
"1414",4.24,1.59,-0.39
"1415",4,1.33,-0.08
"1416",3.61,0.47,0.53
"1417",4.21,1.38,-0.24
"1418",4.01,1.07,0.07
"1419",3.82,0.99,0.53
"1420",4.23,1.12,0.18
"1421",4.13,1.02,0.26
"1422",4.12,0.94,0.26
"1423",4.39,1.12,-0.01
"1424",4.39,0.93,0
"1425",4.09,0.68,0.29
"1426",4.05,0.54,0.42
"1427",4.17,0.55,0.35
"1428",4.71,0.75,0.11
"1429",4.71,0.61,0.21
"1430",4.77,0.17,0.25
"1431",4.65,0.88,0.06
"1432",4.59,0.69,0.18
"1433",4.38,0.25,0.41
"1434",4.47,0.35,0.47
"1435",4.45,0.22,0.59
"1436",4.37,-0.18,0.74
"1437",3.49,-0.91,1.16
"1438",3.88,-0.72,1.08
"1439",3.71,-0.96,1.14
"1440",3.43,1.71,0.37
"1441",3.28,2.24,-0.22
"1442",3.25,2.3,-0.41
"1443",3.17,2.46,-0.42
"1444",3.25,2.31,-0.37
"1445",3.21,2.28,-0.05
"1446",3.21,2.33,-0.26
"1447",3,2.57,-0.17
"1448",3.13,2.4,-0.3
"1449",3.09,2.31,-0.25
"1450",3.1,2.3,-0.49
"1451",3.18,2.25,-0.48
"1452",3.12,2.35,-0.51
"1453",3.15,2.32,-0.49
"1454",3.08,2.35,-0.49
"1455",2.87,2.48,-0.77
"1456",2.99,2.55,-0.8
"1457",2.9,2.58,-0.94
"1458",2.77,2.44,-0.86
"1459",2.74,2.36,-0.5
"1460",2.7,2.39,-0.61
"1461",2.75,2.46,-0.63
"1462",2.75,2.45,-0.64
"1463",2.72,2.45,-0.73
"1464",2.66,2.54,-0.52
"1465",2.57,2.54,-0.32
"1466",2.4,2.59,0.08
"1467",2.38,2.64,0.05
"1468",2.61,2.51,-0.32
"1469",2.43,2.58,0.27
"1470",2.41,2.62,0.03
"1471",2.31,2.71,-0.36
"1472",2.23,2.76,-0.32
"1473",2.21,2.75,-0.15
"1474",2.25,2.71,-0.27
"1475",2.26,2.71,-0.14
"1476",2.22,2.71,-0.22
"1477",2.13,2.81,-0.29
"1478",2.09,2.8,-0.26
"1479",2.25,2.62,-0.01
"1480",2.33,2.57,0.15
"1481",2.37,2.7,0.06
"1482",2.3,2.72,0.05
"1483",2.26,2.72,0
"1484",2.29,2.59,-0.1
"1485",2.23,2.69,-0.09
"1486",2.07,2.8,-0.42
"1487",2.07,2.78,-0.14
"1488",1.89,2.88,-0.58
"1489",1.87,2.9,-0.57
"1490",1.78,2.88,-0.43
"1491",1.81,3.04,-0.9
"1492",2.16,2.82,-0.77
"1493",2.27,2.46,-0.57
"1494",1.93,2.68,-0.64
"1495",2.17,2.39,-0.91
"1496",2.04,2.67,-0.61
"1497",2.48,2.6,0.02
"1498",1.62476805423995,2.51576971414769,-0.720584618319353
"1499",1.69,3.23,-1.47
"1500",1.66172998870026,1.7388644133084,-0.520466267865315
"1501",1.73,3.2,-1.48
"1502",3.26495834397546,2.23219717168403,-0.264207383343076
"1503",1.76,3.2,-1.46
"1504",1.76,3.2,-1.46
"1505",4.48938611046203,0.152566961084008,0.549727066757135
"1506",1.64,3.2,-1.48
"1507",1.80336999596601,2.74286949467693,-1.12213716667207
"1508",1.55,3.22,-1.44
"1509",1.55,3.22,-1.44
"1510",2.98907013697222,2.31598986361276,-0.258626484696391
"1511",1.69,3.17,-1.42
"1512",2.10340889148959,2.54758009643108,-0.00849517737150624
"1513",1.73,3.15,-1.39
"1514",1.29147701979437,2.85280603324144,-0.396780513427388
"1515",1.62,3.19,-1.25
"1516",1.62,3.19,-1.25
"1517",3.7756440950004,-1.09657264033925,1.10227353635893
"1518",1.73,3.12,-1.32
"1519",2.46599654183015,2.37310866764337,-0.0818267018202243
"1520",1.72,3.3,-1.2
"1521",2.6676027810563,2.67610849188882,0.757646052956799
"1522",1.97951356330457,2.53832843582632,-0.40312943111347
"1523",1.75,3.31,-1.19
"1524",0.99,2.77,-2.06
"1525",1.73,2.82,-1.11
"1526",1.93,2.71,-0.65
"1527",1.98,2.86,-0.87
"1528",1.89,2.71,-0.85
"1529",2.08,2.71,-0.87
