"","Bx","By","Bz"
"168",2.0102444860767,0.547012710292989,0.978531434688545
"169",3.51,-0.73,0.83
"170",0.0717694750560687,-0.202995052619782,-0.542506015469197
"171",3.51,-0.92,0.98
"172",-0.647348798638295,0.331968593233735,-0.558253758707057
"173",-3.29623074410104,2.98382602712709,-1.40216236091035
"174",3.54,-0.95,0.93
"175",3.83161674374586,-2.0823184400533,2.11004211420506
"176",3.58,-1.16,0.93
"177",1.96805463748914,-0.0621618761548126,1.01551124354691
"178",2.1940538064062,-1.50037363899644,1.03089163137922
"179",3.44,-1.22,0.78
"180",3.55943481710711,-2.05158069883131,2.08892954193508
"181",3.45,-1.2,0.77
"182",3.45,-1.2,0.77
"183",2.16722336517178,0.0371676391965214,1.05012697593481
"184",3.35,-1.16,0.99
"185",2.42869864722185,-0.631926478735031,1.40975914997044
"186",3.37,-1.39,0.83
"187",-0.164455647402184,0.146268450150395,-0.461513161643085
"188",3.41,-1.46,0.81
"189",2.05811573777632,0.883290935267278,0.687639560280949
"190",3.31,-1.49,0.86
"191",4.05456452647429,-2.40246500990736,2.17157048390534
"192",3.2,-1.64,0.92
"193",0.393227304099714,-0.757279629456029,0.183998082836244
"194",3.12,-1.84,0.9
"195",3.23,-1.72,1.02
"196",3.64,-1.66,-1.77
"197",3.5,-1.71,-1.66
"198",3.68,-1.83,-1.29
"199",3.68,-1.83,-1.29
"200",3.55,-1.54,0.01
"201",3.75627772778643,-1.53223131274949,1.01675841698084
"202",3.06,-1.75,-0.84
"203",3.06,-1.75,-0.84
"204",3.60203868005593,-1.84758760788787,-1.15046364389716
"205",3.34,-1.51,0.14
"206",3.80322199284111,-0.983905388287808,1.63908685679264
"207",3.36716323061524,-1.07451613407727,1.42489265520996
"208",3.15,-1.84,-0.7
"209",3.15,-1.84,-0.7
"210",3.6,-1.28,1.15
"211",3.93174576731307,-1.84646263494783,1.490789109607
"212",4.18445349875891,-1.81268168244879,1.33432940395659
"213",2.94,-1.99,-0.6
"214",2.51728266448158,0.785775136498709,0.914473256657126
"215",3.49,-1.3,-2.09
"216",3.56,-1.37,-1.18
"217",3.27,-1.18,-1.79
"218",3.2,-1.73,-1.73
"219",3.38,-1.87,-1.3
"220",3.35,-1.9,-1.3
"221",3.31,-1.96,-0.97
"222",3.46,-1.82,-0.01
"223",3.54,-2,-0.79
"224",2.98,-0.73,-1.49
"225",3.04,-0.8,-1.55
"226",3.28,-2,-0.85
"227",3.48,-1.45,-0.49
"228",3.47,-1.95,-1.24
"229",3.48,-2.02,-0.77
"230",3.28,-1.13,-0.8
"231",3.43,-1.91,-1.3
"232",3.14,-1.11,-1.58
"233",3.43,-1.66,-1.02
"234",3.08,-1.83,0.4
"235",3.29,-1.56,-0.65
"236",3.31,-1.18,-0.75
"237",3.32,-1.51,-0.77
"238",3.36,-1.56,-0.72
"239",3.44,-1.46,-1
"240",3.32,-1.23,-1.34
"241",3.52,-1.7,-0.95
"242",2.96,-0.64,-1.28
"243",2.16,1.4,0.98
"244",1.79,1.65,0.83
"245",2.34,0.87,0.64
"246",3.61,-0.91,1.34
"247",3.91,-1.31,1.23
"248",3.81,-0.56,1.62
"249",3.73,-0.86,1.49
"250",3.58,-1.1,1.89
"251",3.8,-1.53,1.69
"252",3.95,-1.37,1.39
"253",3.91,-1.55,0.56
"254",3.9,-1.16,1.29
"255",4.31,-2.23,0.27
"256",3.84,-1.08,0.64
"257",3.24,-0.52,1.32
"258",3.89,-0.94,1.22
